timestamp,close,raw_signal,processed_signal,regime_probability,target_normalized_position,current_contracts_before,target_contracts,delta_contracts,trade_allowed,dry_run
2026-06-26T13:40:00,2002.6,0.0400993786752224,0.0,0.645582377910614,0.0,0,0,0,True,True
2026-06-26T13:45:00,2004.7,0.060238439589738846,0.0,0.6669501066207886,0.0,0,0,0,True,True
2026-06-26T13:50:00,2004.5,0.11127232760190964,0.13843021140905679,0.7036932110786438,0.0,0,0,0,True,True
2026-06-26T13:55:00,2004.7,0.10670286417007446,0.13204978225779718,0.7317419648170471,0.0,0,0,0,True,True
2026-06-26T14:00:00,2005.5,0.05070217326283455,0.0,0.7493056058883667,0.0,0,0,0,True,True
2026-06-26T14:05:00,2004.2,0.03347543999552727,0.0,0.7704575657844543,0.0,0,0,0,True,True
2026-06-26T14:10:00,2004.7,0.04439689964056015,0.0,0.7731776833534241,0.0,0,0,0,True,True
2026-06-26T14:15:00,2006.0,-0.36554795503616333,-0.36196950218867674,0.5751197338104248,-0.36196950218867674,0,-2,-2,True,True
2026-06-26T14:20:00,2009.1,-0.4031088650226593,-0.4139056415662486,0.4546172320842743,-0.4139056415662486,-2,-2,0,False,True
2026-06-26T14:25:00,2007.0,-0.2656233310699463,-0.31460831314133036,0.3742580711841583,0.0,-2,0,2,False,True
2026-06-29T09:40:00,2012.3,-0.7640075087547302,-0.7974698856482044,0.06033002957701683,-0.7974698856482044,0,-4,-4,True,True
2026-06-29T09:45:00,2012.8,-0.7748385667800903,-0.8045156033270272,0.06462379544973373,-0.8045156033270272,-4,-4,0,True,True
2026-06-29T09:50:00,2010.9,-0.7142828702926636,-0.7564443674606224,0.06603501737117767,-0.7564443674606224,-4,-4,0,True,True
2026-06-29T09:55:00,2010.6,-0.715861976146698,-0.7585279461289502,0.06336979568004608,-0.7585279461289502,-4,-4,0,True,True
2026-06-29T10:00:00,2010.8,-0.7668744921684265,-0.7988896761432811,0.0628424882888794,-0.7988896761432811,-4,-4,0,True,True
2026-06-29T10:05:00,2010.2,-0.7702558040618896,-0.8010673704629377,0.06424941122531891,-0.8010673704629377,-4,-4,0,True,True
2026-06-29T10:10:00,2011.5,-0.776275098323822,-0.8048990040106624,0.06684566289186478,-0.8048990040106624,-4,-4,0,True,True
2026-06-29T10:15:00,2013.0,-0.7361356616020203,-0.7707771571852099,0.07534221559762955,-0.7707771571852099,-4,-4,0,True,True
2026-06-29T10:20:00,2012.0,-0.5119991898536682,-0.5852233844506888,0.08281592279672623,-0.5852233844506888,-4,-3,1,True,True
2026-06-29T10:25:00,2012.0,-0.32412099838256836,-0.4148488636420756,0.08565384149551392,-0.4148488636420756,-3,-2,1,True,True
2026-06-29T10:30:00,2011.6,-0.20729544758796692,-0.29624350570566155,0.08928137272596359,-0.29624350570566155,-2,-1,1,True,True
2026-06-29T10:35:00,2010.4,-0.06323382258415222,0.0,0.09440837800502777,0.0,-1,0,1,True,True
2026-06-29T10:40:00,2010.5,-0.08089403063058853,-0.1455865711534881,0.10048223286867142,0.0,0,0,0,True,True
2026-06-29T10:45:00,2011.8,-0.1468108743429184,-0.22634953746214187,0.11410706490278244,0.0,0,0,0,True,True
2026-06-29T10:50:00,2011.9,-0.05340350791811943,0.0,0.13805648684501648,0.0,0,0,0,True,True
2026-06-29T10:55:00,2011.8,0.08169609308242798,0.14310834036863024,0.1587165892124176,0.0,0,0,0,True,True
2026-06-29T11:00:00,2012.0,0.1398574560880661,0.2121604815990461,0.18078888952732086,0.2121604815990461,0,1,1,True,True
2026-06-29T11:05:00,2011.5,0.21696412563323975,0.2923080685779152,0.20125994086265564,0.2923080685779152,1,1,0,True,True
2026-06-29T11:10:00,2010.7,0.2510190010070801,0.32370088134647634,0.21806146204471588,0.32370088134647634,1,2,1,True,True
2026-06-29T11:15:00,2010.3,0.1397944539785385,0.20671842383540567,0.23951444029808044,0.20671842383540567,2,1,-1,True,True
2026-06-29T11:20:00,2011.2,-0.06474822014570236,0.0,0.26319602131843567,0.0,1,0,-1,True,True
2026-06-29T11:25:00,2011.0,-0.11620337516069412,-0.17608634752436034,0.28817054629325867,0.0,0,0,0,True,True
2026-06-29T13:00:00,2011.2,-0.22941312193870544,-0.2848861768430158,0.351438969373703,0.0,0,0,0,True,True
2026-06-29T13:05:00,2012.3,-0.3331976532936096,-0.36750054113312597,0.4050602316856384,-0.36750054113312597,0,-2,-2,True,True
2026-06-29T13:10:00,2010.6,-0.30144721269607544,-0.33310289569881224,0.4530371427536011,-0.33310289569881224,-2,-2,0,True,True
2026-06-29T13:15:00,2011.0,-0.3833373486995697,-0.3941390605106894,0.47742965817451477,-0.3941390605106894,-2,-2,0,True,True
2026-06-29T13:20:00,2012.2,-0.45999905467033386,-0.44538872718158706,0.5065216422080994,-0.44538872718158706,-2,-2,0,True,True
2026-06-29T13:25:00,2012.8,-0.4568348824977875,-0.43719818266879795,0.5330246686935425,-0.43719818266879795,-2,-2,0,True,True
2026-06-29T13:30:00,2012.3,-0.3976695239543915,-0.3904564568291341,0.5507349967956543,-0.3904564568291341,-2,-2,0,True,True
2026-06-29T13:35:00,2013.8,-0.3740319311618805,-0.37026661319522824,0.5645896792411804,-0.37026661319522824,-2,-2,0,True,True
2026-06-29T13:40:00,2014.0,-0.29509153962135315,-0.3067168990186459,0.5848175883293152,-0.3067168990186459,-2,-2,0,True,True
2026-06-29T13:45:00,2013.0,-0.1897803097963333,-0.21965360889349758,0.5901907682418823,-0.21965360889349758,-2,-1,1,True,True
2026-06-29T13:50:00,2011.0,-0.08846591413021088,-0.12420004013071949,0.5858332514762878,-0.12420004013071949,-1,-1,0,True,True
2026-06-29T13:55:00,2010.8,-0.07903597503900528,0.0,0.5711944699287415,0.0,-1,0,1,True,True
2026-06-29T14:00:00,2010.4,-0.0896974429488182,-0.12759757432527913,0.5537555813789368,0.0,0,0,0,True,True
2026-06-29T14:05:00,2010.0,-0.11214817315340042,-0.15288917014727768,0.5277017951011658,0.0,0,0,0,True,True
2026-06-29T14:10:00,2009.0,-0.04673439636826515,0.0,0.5088831186294556,0.0,0,0,0,True,True
2026-06-29T14:15:00,2009.0,-0.09975530207157135,-0.14389605473466918,0.4733119606971741,0.0,0,0,0,True,True
2026-06-29T14:20:00,2003.3,0.51390141248703,0.5283928144875301,0.3236083388328552,0.0,0,0,0,False,True
2026-06-30T09:30:00,2008.8,0.6307994723320007,0.7012179991678776,0.023293334990739822,0.7012179991678776,0,4,4,True,True
2026-06-30T09:35:00,2007.4,0.6053374409675598,0.6796114515056307,0.02427418902516365,0.6796114515056307,4,3,-1,True,True
2026-06-30T09:40:00,2006.2,0.5740216374397278,0.6527683068840501,0.025412175804376602,0.6527683068840501,3,3,0,True,True
2026-06-30T09:45:00,2005.0,0.46843522787094116,0.5601320484444573,0.026890933513641357,0.5601320484444573,3,3,0,True,True
2026-06-30T09:50:00,2004.7,0.21710704267024994,0.31433328979325736,0.029271909967064857,0.31433328979325736,3,2,-1,True,True
2026-06-30T09:55:00,2004.6,-0.03901319205760956,0.0,0.034453582018613815,0.0,2,0,-2,True,True
2026-06-30T10:00:00,2004.5,-0.19720688462257385,-0.2909606729012764,0.0419950857758522,0.0,0,0,0,True,True
2026-06-30T10:05:00,2005.0,-0.2786755859851837,-0.3756192136956582,0.0517057329416275,-0.3756192136956582,0,-2,-2,True,True
2026-06-30T10:10:00,2005.8,-0.2672412693500519,-0.3620963718907075,0.06450895220041275,-0.3620963718907075,-2,-2,0,True,True
2026-06-30T10:15:00,2006.8,-0.13480187952518463,-0.21550483774584175,0.07827362418174744,-0.21550483774584175,-2,-1,1,True,True
2026-06-30T10:20:00,2007.0,0.09174627810716629,0.1606723218557319,0.09042894840240479,0.0,-1,0,1,True,True
2026-06-30T10:25:00,2008.9,0.17992714047431946,0.26500123738727227,0.10191041976213455,0.26500123738727227,0,1,1,True,True
2026-06-30T10:30:00,2007.5,0.39485737681388855,0.476437255599537,0.10880204290151596,0.476437255599537,1,2,1,True,True
2026-06-30T10:35:00,2007.2,0.4750913381576538,0.5475870885378106,0.10772901028394699,0.5475870885378106,2,3,1,True,True
2026-06-30T10:40:00,2008.0,0.40930670499801636,0.48781214587732774,0.11682478338479996,0.48781214587732774,3,2,-1,True,True
2026-06-30T10:45:00,2007.4,0.4895758330821991,0.5553289341320357,0.12794184684753418,0.5553289341320357,2,3,1,True,True
2026-06-30T10:50:00,2007.6,0.563410758972168,0.6143015749061533,0.13841933012008667,0.6143015749061533,3,3,0,True,True
2026-06-30T10:55:00,2007.1,0.6421703100204468,0.6718987690992742,0.1584351658821106,0.6718987690992742,3,3,0,True,True
2026-06-30T11:00:00,2007.5,0.6551802158355713,0.6775600393771786,0.17395982146263123,0.6775600393771786,3,3,0,True,True
2026-06-30T11:05:00,2006.9,0.6817145943641663,0.6906101640330491,0.19871169328689575,0.6906101640330491,3,3,0,True,True
2026-06-30T11:10:00,2006.8,0.6883907914161682,0.6897749817232056,0.21823371946811676,0.6897749817232056,3,3,0,True,True
2026-06-30T11:15:00,2007.1,0.6420665979385376,0.6480939535790218,0.24112124741077423,0.6480939535790218,3,3,0,True,True
2026-06-30T11:20:00,2007.8,0.5476913452148438,0.5708460838897375,0.2584051191806793,0.5708460838897375,3,3,0,True,True
2026-06-30T11:25:00,2007.9,0.47635960578918457,0.5090182493519654,0.28066855669021606,0.5090182493519654,3,3,0,True,True
2026-06-30T13:00:00,2008.6,0.3270176947116852,0.37698041197034354,0.32063308358192444,0.37698041197034354,3,2,-1,True,True
2026-06-30T13:05:00,2009.6,0.1701786071062088,0.22740523330440351,0.35433587431907654,0.22740523330440351,2,1,-1,True,True
2026-06-30T13:10:00,2008.3,0.15367302298545837,0.20561312653391645,0.4056820273399353,0.20561312653391645,1,1,0,True,True
2026-06-30T13:15:00,2007.3,0.12459611892700195,0.1726512645403447,0.4418293237686157,0.1726512645403447,1,1,0,True,True
